,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0.97756,0,0,0.544233,0,0,0,0.470681,0.439977,0.434844,0.424933,0.415857,0.404464
1,1.005998,0.79213,0,0.500154,0.450936,0.424481,0.408952,0.396641,0.399998,0.377418,0.370376,0.363126,0.356424,0.348699
2,0.783304,0.631872,0.481449,0.423921,0.389896,0.369542,0.356248,0.346016,0.349121,0.335487,0.328851,0.323382,0.317049,0.310421
3,0.683776,0.570287,0.448596,0.397791,0.370031,0.352125,0.338715,0.330078,0.329446,0.321249,0.315364,0.309746,0.30408,0.297647
4,0.647633,0.524123,0.425639,0.378988,0.354076,0.338818,0.326441,0.318876,0.314958,0.311142,0.305144,0.299711,0.294326,0.287874
5,0.605956,0.48567,0.409527,0.366262,0.343616,0.331141,0.318939,0.31165,0.305733,0.304361,0.298503,0.293049,0.28743,0.281394
6,0.580349,0.469522,0.403814,0.361864,0.340373,0.328433,0.316431,0.309156,0.303321,0.301899,0.296062,0.290567,0.284967,0.278787
7,0.564951,0.45873,0.399301,0.359196,0.337285,0.326644,0.314744,0.307789,0.30194,0.300416,0.294559,0.288734,0.283374,0.277032
8,0.551677,0.450015,0.396817,0.357484,0.335943,0.325829,0.313605,0.307217,0.301607,0.299157,0.293279,0.28765,0.28201,0.275524
9,0.537195,0.442991,0.39518,0.356751,0.33499,0.325321,0.313474,0.306927,0.302068,0.298559,0.292645,0.286717,0.281048,0.274629
10,0.526241,0.438406,0.394381,0.357012,0.334616,0.325647,0.313497,0.307388,0.302913,0.298497,0.292539,0.286546,0.280628,0.274058
11,0.514693,0.43634,0.394418,0.35789,0.334633,0.326294,0.314175,0.308187,0.304309,0.298668,0.292672,0.286423,0.280668,0.273772
12,0.506347,0.434968,0.395324,0.359534,0.335539,0.327748,0.315379,0.309509,0.305961,0.299252,0.293021,0.28673,0.280933,0.273914
13,0.497482,0.435614,0.396696,0.361742,0.336863,0.32934,0.316783,0.311058,0.307856,0.300203,0.293756,0.287425,0.281411,0.274281
14,0.491416,0.436425,0.398759,0.364403,0.338268,0.33132,0.318611,0.312825,0.309793,0.30131,0.294671,0.288133,0.282094,0.274866
15,0.487344,0.438217,0.401332,0.36747,0.340288,0.333426,0.320612,0.315021,0.311993,0.302579,0.29594,0.289208,0.283142,0.275513
16,0.484944,0.44113,0.404742,0.370941,0.342375,0.335914,0.322806,0.317238,0.314281,0.304022,0.297221,0.290478,0.284235,0.276388
17,0.484335,0.444366,0.408563,0.374552,0.344819,0.338572,0.32501,0.319516,0.316511,0.305652,0.298703,0.291797,0.285393,0.277492
18,0.486919,0.448493,0.412868,0.378099,0.347406,0.341442,0.327676,0.322085,0.318727,0.307323,0.300242,0.29319,0.286786,0.278696
19,0.491333,0.453638,0.417043,0.382237,0.350193,0.344357,0.330231,0.324789,0.321144,0.309226,0.30202,0.294829,0.288139,0.279879
20,0.497119,0.459043,0.421626,0.386226,0.35301,0.347379,0.332932,0.327305,0.323454,0.311063,0.303751,0.296438,0.289762,0.281205
21,0.50436,0.465099,0.42643,0.390183,0.355932,0.350362,0.335636,0.330053,0.325706,0.313032,0.305469,0.298048,0.291256,0.28269
22,0.513545,0.470688,0.431296,0.394493,0.359031,0.353581,0.338399,0.332718,0.32794,0.315005,0.307355,0.299688,0.292928,0.284093
23,0.522843,0.476786,0.436424,0.398458,0.362158,0.356683,0.341278,0.335529,0.330359,0.317015,0.309289,0.301528,0.294528,0.285573
24,0.533836,0.482802,0.44166,0.40273,0.365391,0.359738,0.344135,0.338178,0.332513,0.318947,0.311153,0.303311,0.296217,0.287021
25,0.54334,0.489201,0.446841,0.406877,0.368579,0.362808,0.346838,0.341069,0.334766,0.320982,0.312982,0.305067,0.29789,0.288592
26,0.553626,0.495904,0.451782,0.411005,0.372025,0.365953,0.349818,0.343716,0.336991,0.323,0.314948,0.306824,0.299572,0.290179
27,0.563922,0.502785,0.457428,0.415216,0.375121,0.369027,0.352558,0.346342,0.339223,0.325034,0.31679,0.308609,0.301285,0.291678
28,0.574265,0.509652,0.462824,0.41933,0.37862,0.372086,0.355295,0.348986,0.341336,0.327111,0.318681,0.310446,0.303055,0.29324
29,0.584461,0.516226,0.468125,0.423436,0.381901,0.375185,0.358077,0.351692,0.343361,0.329113,0.320648,0.312224,0.304774,0.294758
30,0.593997,0.522856,0.473485,0.427332,0.385025,0.378165,0.360948,0.354318,0.34549,0.331065,0.322571,0.313966,0.306463,0.296381
31,0.603766,0.529146,0.479066,0.431389,0.388283,0.381073,0.363566,0.356902,0.34759,0.333142,0.324477,0.315831,0.308142,0.297999
32,0.612826,0.535384,0.484591,0.435092,0.391497,0.384168,0.366356,0.359477,0.349526,0.335072,0.326243,0.317567,0.309834,0.299507
33,0.621888,0.541892,0.489732,0.439112,0.394722,0.387066,0.368968,0.361894,0.351487,0.337027,0.32818,0.319333,0.311425,0.30105
34,0.631855,0.548098,0.495529,0.442912,0.398011,0.389802,0.371632,0.364366,0.353498,0.33888,0.330021,0.321009,0.313065,0.302516
35,0.641002,0.554233,0.500697,0.446544,0.401161,0.392635,0.374182,0.366923,0.355419,0.340801,0.331787,0.322752,0.314774,0.30405
36,0.649764,0.560552,0.506299,0.450391,0.404474,0.395379,0.376647,0.369222,0.357271,0.34266,0.333494,0.324443,0.316434,0.305541
37,0.6587,0.56622,0.511435,0.453856,0.407471,0.398065,0.379266,0.371663,0.359074,0.344476,0.335307,0.326097,0.317927,0.30713
38,0.67119,0.57859,0.522194,0.461169,0.413449,0.403397,0.384033,0.376308,0.362788,0.348205,0.338733,0.329358,0.321144,0.310021
39,0.685695,0.589042,0.531924,0.467807,0.419665,0.408637,0.388906,0.380652,0.366193,0.351656,0.342196,0.332657,0.324265,0.312956
40,0.70239,0.600057,0.542345,0.474451,0.425541,0.413498,0.393416,0.385052,0.369602,0.355106,0.34551,0.335667,0.327256,0.315771
41,0.726326,0.620605,0.5616,0.487456,0.436494,0.423061,0.402199,0.393383,0.376014,0.361798,0.351775,0.341788,0.332906,0.321094
42,0.753762,0.643272,0.580434,0.499347,0.447196,0.432049,0.410582,0.401014,0.382149,0.368051,0.357766,0.347492,0.338451,0.326317
43,0.773939,0.661976,0.59718,0.510267,0.457589,0.440339,0.418488,0.408544,0.387949,0.373965,0.363417,0.352859,0.343676,0.331232
